"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Aaron Brooks",FALSE,"23:21",6,13,0.462,4,7,0.571,0,0,NA,1,2,3,4,0,0,3,4,16,2,"2015-01-09_CHI_at_WAS","CHI"
"Taj Gibson",FALSE,"23:01",1,5,0.2,0,0,NA,0,0,NA,1,2,3,2,1,2,0,0,2,1,"2015-01-09_CHI_at_WAS","CHI"
"Tony Snell",FALSE,"18:30",3,6,0.5,2,4,0.5,1,2,0.5,0,1,1,0,4,0,0,2,9,0,"2015-01-09_CHI_at_WAS","CHI"
"Nikola Mirotic",FALSE,"14:16",2,4,0.5,1,1,1,1,2,0.5,1,4,5,1,1,1,0,1,6,5,"2015-01-09_CHI_at_WAS","CHI"
"E'Twaun Moore",FALSE,"13:24",3,4,0.75,0,0,NA,0,0,NA,0,2,2,2,0,0,0,0,6,9,"2015-01-09_CHI_at_WAS","CHI"
"Cameron Bairstow",FALSE,"0:24",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2015-01-09_CHI_at_WAS","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_CHI_at_WAS","CHI"
"Jimmy Butler",TRUE,"41:18",2,9,0.222,0,3,0,5,7,0.714,3,5,8,10,2,1,2,2,9,12,"2015-01-10_MIL_at_CHI","CHI"
"Pau Gasol",TRUE,"38:35",17,30,0.567,0,0,NA,12,13,0.923,8,10,18,3,1,0,3,3,46,5,"2015-01-10_MIL_at_CHI","CHI"
"Kirk Hinrich",TRUE,"34:39",7,13,0.538,2,5,0.4,0,0,NA,2,1,3,3,1,1,1,3,16,7,"2015-01-10_MIL_at_CHI","CHI"
"Tony Snell",TRUE,"31:31",1,7,0.143,0,4,0,0,0,NA,3,3,6,2,0,1,1,0,2,12,"2015-01-10_MIL_at_CHI","CHI"
"Joakim Noah",TRUE,"22:09",1,2,0.5,0,0,NA,0,0,NA,1,4,5,2,0,1,1,4,2,12,"2015-01-10_MIL_at_CHI","CHI"
"Taj Gibson",FALSE,"25:51",3,12,0.25,0,0,NA,0,0,NA,5,1,6,1,0,1,2,1,6,-4,"2015-01-10_MIL_at_CHI","CHI"
"Aaron Brooks",FALSE,"23:31",1,7,0.143,1,1,1,2,2,1,0,0,0,3,1,0,1,3,5,-7,"2015-01-10_MIL_at_CHI","CHI"
"Nikola Mirotic",FALSE,"13:01",2,6,0.333,1,4,0.25,2,2,1,0,5,5,0,0,0,1,1,7,0,"2015-01-10_MIL_at_CHI","CHI"
"E'Twaun Moore",FALSE,"9:25",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,3,"2015-01-10_MIL_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-10_MIL_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-10_MIL_at_CHI","CHI"
"Jimmy Butler",TRUE,"42:52",5,13,0.385,3,6,0.5,4,4,1,2,0,2,2,0,0,1,2,17,-6,"2015-01-12_ORL_at_CHI","CHI"
"Pau Gasol",TRUE,"34:46",10,16,0.625,0,1,0,8,10,0.8,0,14,14,1,1,2,4,1,28,-8,"2015-01-12_ORL_at_CHI","CHI"
"Joakim Noah",TRUE,"31:23",3,6,0.5,0,0,NA,0,2,0,2,5,7,4,0,1,3,6,6,-6,"2015-01-12_ORL_at_CHI","CHI"
"Derrick Rose",TRUE,"30:28",8,15,0.533,1,5,0.2,1,3,0.333,0,2,2,7,2,0,3,3,18,-2,"2015-01-12_ORL_at_CHI","CHI"
"Tony Snell",TRUE,"22:18",2,3,0.667,1,2,0.5,0,0,NA,2,3,5,3,1,0,0,1,5,-5,"2015-01-12_ORL_at_CHI","CHI"
"Kirk Hinrich",FALSE,"24:37",3,7,0.429,0,2,0,2,2,1,0,3,3,3,0,1,2,1,8,-7,"2015-01-12_ORL_at_CHI","CHI"
"Aaron Brooks",FALSE,"23:45",4,10,0.4,2,7,0.286,2,2,1,0,2,2,4,0,0,0,3,12,-1,"2015-01-12_ORL_at_CHI","CHI"
"Taj Gibson",FALSE,"18:45",4,7,0.571,0,0,NA,1,1,1,4,2,6,1,0,0,1,1,9,-2,"2015-01-12_ORL_at_CHI","CHI"
"Nikola Mirotic",FALSE,"11:06",2,7,0.286,1,4,0.25,6,9,0.667,1,1,2,0,2,1,0,2,11,2,"2015-01-12_ORL_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-12_ORL_at_CHI","CHI"
"E'Twaun Moore",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-12_ORL_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-12_ORL_at_CHI","CHI"
"Jimmy Butler",TRUE,"37:51",3,10,0.3,2,4,0.5,5,6,0.833,0,2,2,2,4,1,0,1,13,-8,"2015-01-14_WAS_at_CHI","CHI"
"Derrick Rose",TRUE,"36:03",12,22,0.545,6,9,0.667,2,3,0.667,0,2,2,5,0,0,3,2,32,-18,"2015-01-14_WAS_at_CHI","CHI"
"Pau Gasol",TRUE,"33:42",4,11,0.364,0,0,NA,5,7,0.714,2,6,8,3,0,0,3,4,13,-11,"2015-01-14_WAS_at_CHI","CHI"
"Tony Snell",TRUE,"32:37",3,9,0.333,1,5,0.2,0,0,NA,1,4,5,1,1,0,0,1,7,-9,"2015-01-14_WAS_at_CHI","CHI"
"Joakim Noah",TRUE,"13:25",1,1,1,0,0,NA,0,0,NA,1,2,3,2,0,1,1,2,2,-3,"2015-01-14_WAS_at_CHI","CHI"
"Taj Gibson",FALSE,"31:32",6,9,0.667,0,0,NA,0,0,NA,2,4,6,1,0,2,2,2,12,-2,"2015-01-14_WAS_at_CHI","CHI"
"Kirk Hinrich",FALSE,"19:13",0,2,0,0,1,0,0,0,NA,0,1,1,2,1,0,1,1,0,5,"2015-01-14_WAS_at_CHI","CHI"
"Nikola Mirotic",FALSE,"17:20",2,8,0.25,2,4,0.5,6,8,0.75,1,3,4,1,3,1,0,2,12,4,"2015-01-14_WAS_at_CHI","CHI"
"Aaron Brooks",FALSE,"16:45",3,7,0.429,2,4,0.5,0,0,NA,1,1,2,1,1,0,2,6,8,11,"2015-01-14_WAS_at_CHI","CHI"
"E'Twaun Moore",FALSE,"1:31",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,"2015-01-14_WAS_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-14_WAS_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-14_WAS_at_CHI","CHI"
"Taj Gibson",TRUE,"39:20",5,11,0.455,0,0,NA,3,3,1,1,7,8,2,0,0,0,4,13,22,"2015-01-16_CHI_at_BOS","CHI"
"Jimmy Butler",TRUE,"39:17",10,19,0.526,0,2,0,2,2,1,1,4,5,2,6,0,1,0,22,15,"2015-01-16_CHI_at_BOS","CHI"
"Kirk Hinrich",TRUE,"34:28",2,4,0.5,2,2,1,0,0,NA,1,2,3,3,2,1,0,1,6,14,"2015-01-16_CHI_at_BOS","CHI"
"Derrick Rose",TRUE,"32:48",12,20,0.6,5,8,0.625,0,0,NA,1,2,3,10,1,2,0,0,29,9,"2015-01-16_CHI_at_BOS","CHI"
"Pau Gasol",TRUE,"30:59",9,16,0.563,0,0,NA,2,3,0.667,4,7,11,4,0,2,3,1,20,11,"2015-01-16_CHI_at_BOS","CHI"
"Nikola Mirotic",FALSE,"25:41",1,5,0.2,0,4,0,3,4,0.75,0,3,3,4,2,0,1,2,5,-1,"2015-01-16_CHI_at_BOS","CHI"
"Aaron Brooks",FALSE,"19:41",6,10,0.6,3,5,0.6,0,0,NA,0,2,2,1,1,1,2,4,15,12,"2015-01-16_CHI_at_BOS","CHI"
"E'Twaun Moore",FALSE,"17:46",3,4,0.75,3,4,0.75,0,0,NA,0,1,1,2,0,0,0,2,9,-2,"2015-01-16_CHI_at_BOS","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-16_CHI_at_BOS","CHI"
"Tony Snell",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-16_CHI_at_BOS","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-16_CHI_at_BOS","CHI"
"Taj Gibson",TRUE,"41:45",3,7,0.429,0,0,NA,3,4,0.75,1,5,6,1,2,2,2,5,9,-10,"2015-01-17_ATL_at_CHI","CHI"
"Pau Gasol",TRUE,"39:12",9,18,0.5,0,0,NA,4,5,0.8,2,13,15,3,0,1,3,1,22,-4,"2015-01-17_ATL_at_CHI","CHI"
"Jimmy Butler",TRUE,"38:06",6,11,0.545,1,3,0.333,2,2,1,1,4,5,3,1,0,1,1,15,-13,"2015-01-17_ATL_at_CHI","CHI"
"Derrick Rose",TRUE,"37:06",8,22,0.364,4,10,0.4,3,5,0.6,2,6,8,10,0,0,3,0,23,3,"2015-01-17_ATL_at_CHI","CHI"
"Kirk Hinrich",TRUE,"30:16",3,6,0.5,2,5,0.4,0,0,NA,0,0,0,3,2,0,0,4,8,0,"2015-01-17_ATL_at_CHI","CHI"
"Aaron Brooks",FALSE,"20:30",5,8,0.625,1,3,0.333,2,2,1,1,2,3,4,0,2,1,3,13,-6,"2015-01-17_ATL_at_CHI","CHI"
"E'Twaun Moore",FALSE,"18:02",2,4,0.5,0,1,0,0,0,NA,0,2,2,1,0,0,1,1,4,-8,"2015-01-17_ATL_at_CHI","CHI"
"Nikola Mirotic",FALSE,"15:03",1,4,0.25,1,4,0.25,2,2,1,0,4,4,0,0,0,2,6,5,-2,"2015-01-17_ATL_at_CHI","CHI"
"Tony Snell",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-17_ATL_at_CHI","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-17_ATL_at_CHI","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-17_ATL_at_CHI","CHI"
"Jimmy Butler",TRUE,"39:31",6,16,0.375,1,3,0.333,7,9,0.778,1,6,7,3,1,1,0,1,20,-24,"2015-01-19_CHI_at_CLE","CHI"
"Taj Gibson",TRUE,"38:19",4,10,0.4,0,0,NA,2,5,0.4,3,7,10,1,1,5,1,3,10,-8,"2015-01-19_CHI_at_CLE","CHI"
"Pau Gasol",TRUE,"37:05",4,14,0.286,0,0,NA,3,4,0.75,5,6,11,2,0,2,0,2,11,-17,"2015-01-19_CHI_at_CLE","CHI"
"Derrick Rose",TRUE,"29:56",5,14,0.357,3,5,0.6,5,5,1,0,1,1,2,1,0,1,1,18,-13,"2015-01-19_CHI_at_CLE","CHI"
"Kirk Hinrich",TRUE,"26:35",0,4,0,0,1,0,0,0,NA,0,3,3,0,0,0,1,2,0,-18,"2015-01-19_CHI_at_CLE","CHI"
"Tony Snell",FALSE,"22:47",5,8,0.625,2,4,0.5,0,0,NA,1,3,4,0,1,1,4,2,12,1,"2015-01-19_CHI_at_CLE","CHI"
"Aaron Brooks",FALSE,"18:37",5,9,0.556,2,3,0.667,4,4,1,0,1,1,3,1,0,0,1,16,8,"2015-01-19_CHI_at_CLE","CHI"
"Nikola Mirotic",FALSE,"15:26",0,1,0,0,0,NA,3,3,1,1,1,2,0,0,0,1,2,3,-7,"2015-01-19_CHI_at_CLE","CHI"
"E'Twaun Moore",FALSE,"6:34",1,3,0.333,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,4,"2015-01-19_CHI_at_CLE","CHI"
"Cameron Bairstow",FALSE,"2:35",0,1,0,0,0,NA,2,2,1,0,0,0,0,0,0,0,0,2,2,"2015-01-19_CHI_at_CLE","CHI"
"Nazr Mohammed",FALSE,"2:35",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,2,"2015-01-19_CHI_at_CLE","CHI"
"Doug McDermott",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-19_CHI_at_CLE","CHI"
"Taj Gibson",TRUE,"36:33",5,13,0.385,0,0,NA,5,8,0.625,4,5,9,1,1,4,1,2,15,17,"2015-01-22_SAS_at_CHI","CHI"
"Tony Snell",TRUE,"34:28",4,11,0.364,0,6,0,4,5,0.8,1,2,3,2,0,0,2,0,12,14,"2015-01-22_SAS_at_CHI","CHI"
"Pau Gasol",TRUE,"31:27",5,6,0.833,0,0,NA,2,2,1,1,16,17,2,0,2,1,2,12,22,"2015-01-22_SAS_at_CHI","CHI"
"Jimmy Butler",TRUE,"28:01",4,9,0.444,2,2,1,7,7,1,0,4,4,2,1,1,1,4,17,21,"2015-01-22_SAS_at_CHI","CHI"
"Derrick Rose",TRUE,"26:39",9,16,0.563,2,4,0.5,2,2,1,1,1,2,5,2,0,2,1,22,26,"2015-01-22_SAS_at_CHI","CHI"
"Kirk Hinrich",FALSE,"25:55",1,5,0.2,0,2,0,0,0,NA,0,2,2,1,1,0,0,4,2,2,"2015-01-22_SAS_at_CHI","CHI"
"Aaron Brooks",FALSE,"24:52",4,7,0.571,2,3,0.667,5,7,0.714,0,4,4,3,1,0,3,1,15,8,"2015-01-22_SAS_at_CHI","CHI"
"Nikola Mirotic",FALSE,"15:26",3,6,0.5,0,2,0,0,0,NA,0,0,0,2,1,1,0,1,6,11,"2015-01-22_SAS_at_CHI","CHI"
"Nazr Mohammed",FALSE,"9:43",0,0,NA,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,0,-6,"2015-01-22_SAS_at_CHI","CHI"
"E'Twaun Moore",FALSE,"2:30",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0,"2015-01-22_SAS_at_CHI","CHI"
"Cameron Bairstow",FALSE,"2:13",1,2,0.5,0,0,NA,1,1,1,1,1,2,0,0,0,0,1,3,0,"2015-01-22_SAS_at_CHI","CHI"
"Doug McDermott",FALSE,"2:13",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2015-01-22_SAS_at_CHI","CHI"
"Jimmy Butler",TRUE,"38:22",8,18,0.444,0,2,0,4,5,0.8,3,5,8,6,3,0,2,1,20,2,"2015-01-23_CHI_at_DAL","CHI"
"Pau Gasol",TRUE,"38:19",5,10,0.5,0,0,NA,3,3,1,3,13,16,3,1,1,3,2,13,9,"2015-01-23_CHI_at_DAL","CHI"
"Derrick Rose",TRUE,"37:05",7,17,0.412,3,5,0.6,3,3,1,2,1,3,3,1,1,5,0,20,8,"2015-01-23_CHI_at_DAL","CHI"
"Tony Snell",TRUE,"30:32",4,7,0.571,2,4,0.5,0,0,NA,0,3,3,2,1,0,2,1,10,5,"2015-01-23_CHI_at_DAL","CHI"
"Joakim Noah",TRUE,"23:00",3,8,0.375,0,0,NA,0,0,NA,6,1,7,1,0,2,4,2,6,4,"2015-01-23_CHI_at_DAL","CHI"
"Taj Gibson",FALSE,"32:40",6,10,0.6,0,0,NA,3,4,0.75,1,6,7,2,1,1,3,4,15,-1,"2015-01-23_CHI_at_DAL","CHI"
"Kirk Hinrich",FALSE,"20:37",2,3,0.667,2,2,1,2,2,1,0,0,0,2,1,0,1,4,8,-1,"2015-01-23_CHI_at_DAL","CHI"
"Aaron Brooks",FALSE,"13:03",1,3,0.333,0,1,0,2,3,0.667,0,2,2,3,0,0,0,3,4,3,"2015-01-23_CHI_at_DAL","CHI"
"E'Twaun Moore",FALSE,"4:21",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,-5,"2015-01-23_CHI_at_DAL","CHI"
"Nikola Mirotic",FALSE,"2:01",1,1,1,1,1,1,0,0,NA,0,1,1,0,0,0,1,1,3,-4,"2015-01-23_CHI_at_DAL","CHI"
"Doug McDermott",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-23_CHI_at_DAL","CHI"
"Cameron Bairstow",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-23_CHI_at_DAL","CHI"
"Nazr Mohammed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-23_CHI_at_DAL","CHI"
"Jimmy Butler",TRUE,"42:33",2,8,0.25,0,2,0,1,1,1,1,4,5,2,1,0,0,0,5,-4,"2015-01-25_MIA_at_CHI","CHI"
"Pau Gasol",TRUE,"36:09",6,16,0.375,0,1,0,1,1,1,6,11,17,3,0,4,2,2,13,-13,"2015-01-25_MIA_at_CHI","CHI"
