st_cd	year	lhpi_real	lpci_real
11	2006	5.300324	2.84886
11	2007	5.290147	2.87302
11	2008	5.187115	2.929838
11	2009	5.140217	2.903147
11	2010	5.124635	2.935379
11	2011	5.102731	2.9289
12	1975	4.729857	2.170145
12	1976	4.661245	2.17571
12	1977	4.637002	2.194648
12	1978	4.604325	2.169573
12	1979	4.632592	2.175946
12	1980	4.60517	2.169282
12	1981	4.568837	2.169956
12	1982	4.583624	2.146849
12	1983	4.580509	2.217819
12	1984	4.566946	2.273082
12	1985	4.55235	2.29824
12	1986	4.582901	2.331363
12	1987	4.576197	2.34481
12	1988	4.573555	2.370885
12	1989	4.571796	2.410578
12	1990	4.539083	2.400008
12	1991	4.522738	2.391942
12	1992	4.532911	2.410158
12	1993	4.521645	2.409602
12	1994	4.498029	2.409422
12	1995	4.484948	2.419833
12	1996	4.480747	2.42206
12	1997	4.477121	2.418461
12	1998	4.512431	2.461369
12	1999	4.538863	2.481338
12	2000	4.571444	2.507344
12	2001	4.635493	2.506546
12	2002	4.718447	2.536614
12	2003	4.789806	2.547582
12	2004	4.919516	2.583138
12	2005	5.099955	2.580133
12	2006	5.199998	2.599904
12	2007	5.135357	2.591949
12	2008	4.911767	2.583984
12	2009	4.76772	2.521484
12	2010	4.66013	2.554719
12	2011	4.548132	2.542223
13	1975	4.695729	1.946022
13	1976	4.674119	1.989246
13	1977	4.639655	2.009025
13	1978	4.651155	2.047014
13	1979	4.635983	2.033309
13	1980	4.60517	2.001075
13	1981	4.563625	1.991405
13	1982	4.552658	2.002291
13	1983	4.552305	2.038979
13	1984	4.566986	2.115602
13	1985	4.576653	2.13551
13	1986	4.615236	2.171176
13	1987	4.630554	2.181456
13	1988	4.63288	2.222802
13	1989	4.607505	2.230127
13	1990	4.568672	2.241168
13	1991	4.547349	2.248
13	1992	4.553893	2.286523
13	1993	4.546555	2.285072
13	1994	4.545605	2.314394
13	1995	4.553646	2.333858
13	1996	4.565272	2.352673
13	1997	4.5905	2.367857
13	1998	4.63547	2.402991
13	1999	4.672565	2.421216
13	2000	4.695976	2.449763
13	2001	4.734321	2.450394
13	2002	4.767466	2.46805
13	2003	4.790532	2.48173
13	2004	4.820953	2.506038
13	2005	4.845589	2.518823
13	2006	4.866592	2.524929
13	2007	4.865619	2.52916
13	2008	4.817549	2.525358
13	2009	4.80378	2.512593
13	2010	4.72173	2.519041
13	2011	4.619505	2.522031
16	1975	4.62089	2.093071
16	1976	4.639807	2.126976
16	1977	4.678577	2.107992
16	1978	4.736612	2.126312
16	1979	4.714229	2.091281
16	1980	4.60517	2.042259
16	1981	4.562378	2.010416
16	1982	4.484957	1.984033
16	1983	4.484877	2.046443
16	1984	4.468849	2.07464
16	1985	4.465141	2.092161
16	1986	4.467267	2.110852
16	1987	4.428443	2.139826
16	1988	4.395579	2.18413
16	1989	4.387368	2.212093
16	1990	4.386327	2.202193
16	1991	4.387325	2.174373
16	1992	4.417556	2.195838
16	1993	4.473651	2.230215
16	1994	4.51698	2.237818
16	1995	4.539786	2.248478
16	1996	4.539575	2.255841
16	1997	4.532129	2.238483
16	1998	4.539871	2.270509
16	1999	4.527532	2.282045
16	2000	4.508249	2.298345
16	2001	4.523975	2.307177
