"n_digits","upper","value","n_guesses","time"
3,100,48,109,0.01398
4,1000,196,79,0.01396
3,100,91,99,0.01355
3,100,63,103,0.01343
3,100,15,101,0.01339
3,100,69,104,0.01313
3,100,56,101,0.01301
3,100,98,92,0.0128
4,1000,921,86,0.01271
3,100,62,94,0.0127
4,1000,386,88,0.01261
3,100,16,80,0.01251
3,100,71,96,0.01233
3,100,87,72,0.01218
3,100,99,79,0.01207
3,100,42,74,0.01185
3,100,63,46,0.01171
3,100,98,87,0.01159
4,1000,188,81,0.01155
3,100,51,88,0.01132
4,1000,553,77,0.01118
3,100,56,56,0.01117
3,100,41,82,0.01105
3,100,93,80,0.01078
3,100,75,80,0.01061
3,100,2,81,0.01046
3,100,70,58,0.01019
3,100,24,78,0.01016
3,100,84,76,0.00994
3,100,48,59,0.00989
3,100,61,68,0.00985
3,100,57,71,0.00933
3,100,31,70,0.00926
3,100,40,65,0.0092
3,100,27,66,0.00856
3,100,84,51,0.00854
3,100,59,52,0.00833
3,100,25,52,0.00817
3,100,37,63,0.0081
2,10,2,63,0.00802
3,100,64,56,0.00785
3,100,67,57,0.00747
2,10,1,56,0.00739
3,100,95,54,0.00736
3,100,96,47,0.00715
3,100,12,41,0.00687
2,10,7,49,0.00676
3,100,98,50,0.00663
2,10,3,30,0.00659
4,1000,546,29,0.00652
3,100,1,40,0.00647
3,100,10,48,0.00639
3,100,19,35,0.00622
3,100,28,46,0.00612
3,100,39,16,0.00584
2,10,1,31,0.0058
3,100,11,40,0.00565
3,100,89,37,0.00536
3,100,67,38,0.00529
2,10,1,19,0.00527
3,100,95,29,0.00512
2,10,2,39,0.00512
2,10,3,36,0.00489
2,10,9,34,0.00485
3,100,57,32,0.00455
2,10,8,32,0.00442
3,100,68,30,0.00439
3,100,34,30,0.00434
3,100,51,29,0.00434
3,100,84,32,0.00432
3,100,69,29,0.00432
3,100,66,31,0.00429
3,100,83,29,0.00418
4,1000,5,26,0.00407
3,100,9,27,0.00394
3,100,73,27,0.00384
4,1000,542,22,0.00377
3,100,71,25,0.0037
2,10,10,25,0.0035
2,10,1,25,0.00345
2,10,3,25,0.0034
2,10,2,22,0.00321
2,10,10,26,0.00319
2,10,6,23,0.00313
3,100,23,25,0.00312
2,10,10,15,0.00305
3,100,6,22,0.00295
3,100,1,21,0.00293
3,100,11,20,0.00292
2,10,4,16,0.00288
3,100,8,21,0.00287
2,10,5,22,0.00271
3,100,94,21,0.00267
3,100,7,19,0.00264
2,10,1,20,0.00264
3,100,89,21,0.00262
4,1000,403,18,0.00253
2,10,10,19,0.00249
3,100,28,19,0.00238
2,10,7,18,0.00231
3,100,46,18,0.00228
3,100,81,16,0.00225
2,10,3,18,0.00225
2,10,7,14,0.00217
2,10,7,17,0.00215
3,100,58,15,0.00213
2,10,8,17,0.00212
2,10,4,17,0.00211
2,10,7,17,0.00211
2,10,9,7,0.0021
2,10,7,16,0.00202
2,10,6,15,0.00195
2,10,6,14,0.00188
2,10,10,14,0.00183
2,10,5,11,0.00183
2,10,2,14,0.00179
3,100,80,14,0.00179
2,10,2,14,0.00178
2,10,4,14,0.00177
2,10,2,14,0.00173
3,100,81,13,0.00171
3,100,41,11,0.0017
2,10,3,13,0.0017
2,10,3,13,0.00168
2,10,7,13,0.00162
2,10,10,13,0.00162
2,10,4,12,0.00158
4,1000,301,11,0.00158
2,10,4,6,0.00156
2,10,3,12,0.00155
2,10,4,11,0.00154
4,1000,887,10,0.00147
2,10,6,11,0.00146
4,1000,511,10,0.00145
3,100,78,11,0.00145
2,10,9,10,0.00144
2,10,3,11,0.00144
2,10,4,10,0.00137
3,100,39,10,0.00134
2,10,3,10,0.00133
2,10,10,10,0.00133
2,10,10,4,0.00131
2,10,7,10,0.0013
2,10,2,9,0.00127
2,10,10,9,0.00126
3,100,24,9,0.00124
2,10,3,9,0.00123
2,10,1,8,0.00123
3,100,97,9,0.00121
2,10,3,9,0.00118
2,10,9,9,0.00117
2,10,1,9,0.00117
2,10,10,8,0.00113
2,10,6,8,0.0011
2,10,6,8,0.00108
2,10,3,7,0.00105
2,10,3,6,0.00104
2,10,3,7,0.00104
3,100,3,7,0.001
2,10,1,7,0.00098
3,100,72,7,0.00097
2,10,5,7,0.00095
2,10,4,7,0.00094
2,10,3,5,0.00094
2,10,1,7,0.00094
2,10,10,7,0.00093
2,10,9,6,0.00087
3,100,3,6,0.00085
2,10,4,6,0.00084
2,10,6,6,0.00083
2,10,1,6,0.00083
2,10,8,6,0.00081
2,10,4,6,8e-04
3,100,2,5,0.00074
2,10,9,5,7e-04
2,10,3,5,0.00069
2,10,7,5,0.00068
2,10,9,5,0.00068
2,10,5,5,0.00067
3,100,51,4,0.00062
3,100,31,3,0.00061
3,100,82,4,0.00061
2,10,7,4,0.00056
3,100,42,4,0.00056
2,10,10,4,0.00056
2,10,10,4,0.00055
2,10,10,3,0.00047
2,10,2,3,0.00046
2,10,8,3,0.00046
2,10,6,3,0.00046
2,10,5,3,0.00044
2,10,1,3,0.00044
3,100,3,2,0.00043
2,10,3,3,0.00042
2,10,4,3,0.00042
2,10,1,2,0.00036
3,100,94,2,0.00033
2,10,3,2,0.00031
3,100,25,2,0.00031
2,10,3,2,3e-04
2,10,6,2,3e-04
2,10,6,2,3e-04
2,10,1,2,3e-04
2,10,10,2,3e-04
2,10,8,1,0.00029
2,10,2,2,0.00028
2,10,5,2,0.00028
2,10,10,1,0.00016
2,10,8,1,0.00016
2,10,6,1,0.00016
2,10,7,1,0.00015
3,100,99,1,0.00015
2,10,1,1,0.00015
2,10,4,1,0.00015
2,10,4,1,0.00014
2,10,9,1,0.00014
