# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1435443058
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# sampler_t=HMC
# int_time=6.28319
# sample_file=BOOSH-SAMP.TXT
# append_samples=0
#
lp__,accept_stat__,stepsize__,int_time__,energy__,rateA,rateB,rate_diff
-24.3982,0.337049,1.93049,6.28319,25.9375,0.357106,0.697242,0.340137
-24.2546,1,0.803135,6.28319,24.8938,0.328043,0.647244,0.319201
-26.3062,0.676606,1.19135,6.28319,26.5673,0.302013,0.381113,0.0790998
-27.0744,0.914547,0.953366,6.28319,28.2694,0.631457,0.750565,0.119108
-24.8962,1,1.19816,6.28319,27.7156,0.409999,0.460368,0.0503689
-24.867,1,1.76473,6.28319,25.5689,0.252565,0.621061,0.368495
-24.867,0.0228768,2.59036,6.28319,25.6109,0.252565,0.621061,0.368495
-24.641,1,0.612881,6.28319,25.5051,0.358275,0.725193,0.366918
-24.5495,1,0.90066,6.28319,26.3492,0.369253,0.718123,0.34887
-25.2589,0.864765,1.31919,6.28319,27.5486,0.562831,0.557683,-0.00514751
-24.4267,1,1.50148,6.28319,25.5495,0.486913,0.634001,0.147087
-24.3392,1,2.18733,6.28319,25.6688,0.342668,0.537477,0.19481
-24.3392,0.0720794,3.17647,6.28319,24.586,0.342668,0.537477,0.19481
-24.4718,0.951307,0.850986,6.28319,24.9846,0.292274,0.639072,0.346798
-24.4718,0,11.2047,6.28319,25.8154,0.292274,0.639072,0.346798
-24.4718,2.73964e-15,1.84456,6.28319,29.5705,0.292274,0.639072,0.346798
-24.9329,0.997973,0.179228,6.28319,27.1366,0.540286,0.645608,0.105322
-24.9329,0.966223,0.238769,6.28319,26.8991,0.540286,0.645608,0.105322
-26.5604,0.970869,0.335506,6.28319,27.8628,0.501501,0.375412,-0.126089
-25.5833,1,0.518833,6.28319,26.6198,0.403313,0.406954,0.00364158
-25.8144,0.899007,0.923076,6.28319,27.3503,0.509245,0.426855,-0.0823898
-25.8144,0.259727,1.23326,6.28319,26.9547,0.509245,0.426855,-0.0823898
-24.8022,1,0.221839,6.28319,25.8168,0.459762,0.486677,0.0269155
-24.615,1,0.415442,6.28319,24.9566,0.476503,0.523786,0.0472838
-24.4552,1,0.784077,6.28319,24.6985,0.354291,0.512777,0.158486
-24.4075,1,1.48255,6.28319,24.6774,0.318223,0.547113,0.22889
-24.4075,1.50262e-10,2.79699,6.28319,26.2835,0.318223,0.547113,0.22889
-25.9948,0.973062,0.232286,6.28319,26.2893,0.191973,0.568002,0.376029
-25.0035,1,0.406217,6.28319,26.2116,0.244399,0.638857,0.394458
-24.6976,1,0.767659,6.28319,26.9803,0.478744,0.513549,0.0348048
-25.8714,0.29988,1.4394,6.28319,26.3588,0.196861,0.572737,0.375876
-26.068,0.994825,0.320593,6.28319,26.7587,0.192689,0.674193,0.481504
-24.8382,1,0.591201,6.28319,26.72,0.287026,0.70363,0.416604
-26.1618,0.729724,1.09703,6.28319,26.1788,0.251075,0.778611,0.527536
-24.5078,1,0.906617,6.28319,26.0698,0.290172,0.646378,0.356206
-24.4738,1,1.66063,6.28319,24.4904,0.380709,0.71118,0.330471
-24.4738,1.9526e-48,3.01142,6.28319,24.6297,0.380709,0.71118,0.330471
-24.772,0.989628,0.30297,6.28319,25.0152,0.297389,0.706218,0.408829
-24.1754,1,0.53588,6.28319,26.4977,0.444894,0.619816,0.174922
-24.1905,1,0.966844,6.28319,24.3582,0.378517,0.668303,0.289786
-24.1905,0.718429,1.7272,6.28319,24.2288,0.378517,0.668303,0.289786
-24.4111,0.874863,1.39486,6.28319,24.7125,0.308264,0.561476,0.253212
-24.4111,0.237555,1.74146,6.28319,24.7046,0.308264,0.561476,0.253212
-24.8431,0.983531,0.378182,6.28319,24.8573,0.279436,0.522738,0.243302
-24.1896,1,0.638789,6.28319,24.9104,0.334388,0.59079,0.256402
-25.0072,0.736115,1.11826,6.28319,26.8521,0.515512,0.705876,0.190364
-26.1918,0.770559,0.95843,6.28319,27.2593,0.563176,0.442199,-0.120977
-25.4222,1,0.902169,6.28319,26.2455,0.547527,0.499272,-0.0482551
-25.9301,0.582493,1.55388,6.28319,25.9922,0.212018,0.503203,0.291185
-25.9841,0.980627,0.892897,6.28319,27.0861,0.190921,0.580934,0.390014
-25.0755,0.986798,1.45032,6.28319,26.2565,0.250848,0.539144,0.288296
-25.0755,1.09713e-34,2.37544,6.28319,25.9996,0.250848,0.539144,0.288296
-25.0245,0.99965,0.312141,6.28319,25.8296,0.241259,0.62346,0.382201
-25.7715,0.946215,0.530265,6.28319,25.8666,0.200314,0.583205,0.38289
-26.851,0.869015,0.781445,6.28319,27.0206,0.158823,0.578179,0.419356
-25.8244,1,0.944545,6.28319,27.2122,0.206582,0.683615,0.477033
-25.8244,0.215561,1.57428,6.28319,27.3777,0.206582,0.683615,0.477033
-25.6813,1,0.379112,6.28319,26.7093,0.26924,0.762501,0.493261
-25.1344,1,0.631281,6.28319,25.7918,0.257228,0.700988,0.44376
-24.0947,1,1.04359,6.28319,26.0248,0.394548,0.579778,0.18523
-24.0947,0.00111575,1.71308,6.28319,24.6542,0.394548,0.579778,0.18523
-24.8013,0.982521,0.25684,6.28319,25.3008,0.2576,0.604028,0.346428
-24.1868,1,0.405542,6.28319,24.8173,0.331674,0.614252,0.282577
-24.1868,0.935686,0.66313,6.28319,26.976,0.331674,0.614252,0.282577
-24.8813,0.849778,0.92661,6.28319,25.0474,0.277222,0.6971,0.419878
-25.4911,1,1.05554,6.28319,26.8658,0.335445,0.781015,0.445571
-24.1494,1,1.69851,6.28319,24.8047,0.407617,0.656133,0.248516
-24.1494,3.31258e-12,2.71642,6.28319,24.427,0.407617,0.656133,0.248516
-24.9647,0.951216,0.44087,6.28319,25.8559,0.52393,0.52882,0.00489015
-24.4877,1,0.632782,6.28319,24.9514,0.497621,0.605045,0.107424
-24.4877,0.426265,1.00918,6.28319,27.2113,0.497621,0.605045,0.107424
-25.6586,0.918378,0.442642,6.28319,25.6616,0.598414,0.609263,0.0108493
-25.6586,0.84249,0.58649,6.28319,27.0625,0.598414,0.609263,0.0108493
-25.4766,1,0.654684,6.28319,26.007,0.571605,0.68313,0.111525
-24.6559,1,1.03205,6.28319,25.849,0.516749,0.624291,0.107542
-24.8315,1,1.6182,6.28319,24.9379,0.368474,0.466354,0.09788
-24.8315,9.66161e-22,2.52394,6.28319,25.7016,0.368474,0.466354,0.09788
-24.8664,0.958041,0.450695,6.28319,27.9163,0.252868,0.597423,0.344555
-26.3126,0.845738,0.643668,6.28319,27.1341,0.184303,0.682613,0.49831
-25.9045,1,0.720117,6.28319,26.4924,0.214577,0.714672,0.500095
-26.3494,1,1.11689,6.28319,27.0062,0.178107,0.562937,0.38483
-26.3494,0.227442,1.72385,6.28319,27.6616,0.178107,0.562937,0.38483
-25.0021,1,0.52161,6.28319,26.426,0.260476,0.530454,0.269979
-24.4317,1,0.804518,6.28319,25.026,0.310913,0.551838,0.240925
-24.3774,1,1.23508,6.28319,24.8759,0.30186,0.59345,0.29159
-24.4529,0.851228,1.88741,6.28319,24.7214,0.492556,0.622896,0.13034
-24.4529,0.0207707,2.11388,6.28319,24.9347,0.492556,0.622896,0.13034
-24.8033,0.993554,0.431587,6.28319,26.2469,0.350064,0.473302,0.123238
-24.8292,0.979511,0.65009,6.28319,26.6287,0.419276,0.742021,0.322745
-24.5358,0.991209,0.947726,6.28319,25.4672,0.503661,0.606325,0.102664
-24.2531,1,1.4092,6.28319,24.4067,0.441573,0.560687,0.119114
