msa_cd	year	lhpi_real	lpci_real
11300	1977	4.778562	2.330802
11300	1978	4.756164	2.335465
11300	1979	4.696143	2.29387
11300	1980	4.60517	2.223434
11300	1981	4.551348	2.220296
11300	1982	4.517025	2.15179
11300	1983	4.512071	2.193757
11300	1984	4.509727	2.290576
11300	1985	4.509864	2.302494
11300	1986	4.449909	2.311068
11300	1987	4.413574	2.282833
11300	1988	4.406965	2.321139
11300	1989	4.401017	2.354929
11300	1990	4.435558	2.313084
11300	1991	4.455208	2.303924
11300	1992	4.473012	2.322059
11300	1993	4.503417	2.338151
11300	1994	4.522035	2.39363
11300	1995	4.559847	2.400689
11300	1996	4.606387	2.401532
11300	1997	4.625037	2.415046
11300	1998	4.665856	2.432248
11300	1999	4.666282	2.445457
11300	2000	4.665873	2.476625
11300	2001	4.696731	2.469373
11300	2002	4.710815	2.482766
11300	2003	4.719855	2.506709
11300	2004	4.710109	2.484004
11300	2005	4.702539	2.468558
11300	2006	4.641964	2.49457
11300	2007	4.601678	2.484859
11300	2008	4.570701	2.441124
11300	2009	4.571419	2.422273
11300	2010	4.534096	2.426812
11300	2011	4.468057	2.436661
11340	1975	4.691001	1.964048
11340	1976	4.695589	2.041136
11340	1977	4.702139	2.061303
11340	1978	4.707747	2.089269
11340	1979	4.683029	2.095029
11340	1980	4.60517	2.043944
11340	1981	4.52971	2.015537
11340	1982	4.501204	2.005673
11340	1983	4.49749	2.053829
11340	1984	4.49421	2.108416
11340	1985	4.490222	2.116774
11340	1986	4.508019	2.138237
11340	1987	4.482349	2.166168
11340	1988	4.514372	2.212565
11340	1989	4.494534	2.233067
11340	1990	4.485042	2.241038
11340	1991	4.483895	2.244875
11340	1992	4.49718	2.26863
11340	1993	4.497957	2.272109
11340	1994	4.515662	2.302586
11340	1995	4.537213	2.320985
11340	1996	4.546408	2.337578
11340	1997	4.563284	2.374745
11340	1998	4.616577	2.413924
11340	1999	4.647033	2.437697
11340	2000	4.656108	2.460231
11340	2001	4.685518	2.445666
11340	2002	4.705253	2.432877
11340	2003	4.726339	2.434597
11340	2004	4.724113	2.444456
11340	2005	4.736041	2.448761
11340	2006	4.752929	2.469058
11340	2007	4.771166	2.475273
11340	2008	4.767847	2.461678
11340	2009	4.774277	2.443589
11340	2010	4.718593	2.468888
11340	2011	4.661333	2.478836
11460	1975	4.543025	2.420687
11460	1976	4.559445	2.486455
11460	1977	4.598919	2.526057
11460	1978	4.746942	2.569867
11460	1979	4.72839	2.545697
11460	1980	4.60517	2.487154
11460	1981	4.577908	2.479832
11460	1982	4.455763	2.499243
11460	1983	4.42345	2.54013
11460	1984	4.396373	2.601713
11460	1985	4.384629	2.647085
11460	1986	4.442822	2.689525
11460	1987	4.524199	2.690359
11460	1988	4.603393	2.723546
11460	1989	4.642493	2.729739
11460	1990	4.63948	2.718594
11460	1991	4.636222	2.69495
11460	1992	4.643088	2.733867
11460	1993	4.632789	2.753806
11460	1994	4.641651	2.787306
11460	1995	4.664085	2.791517
11460	1996	4.705246	2.790057
11460	1997	4.750211	2.796028
11460	1998	4.787859	2.834136
11460	1999	4.840588	2.845182
11460	2000	4.889224	2.863811
11460	2001	4.925089	2.850772
11460	2002	4.954743	2.83858
11460	2003	4.972913	2.851045
11460	2004	5.003852	2.853558
11460	2005	5.014096	2.812359
11460	2006	4.960705	2.816648
11460	2007	4.881009	2.814638
11460	2008	4.774604	2.822308
11460	2009	4.719474	2.747992
11460	2010	4.675923	2.773798
11460	2011	4.634031	2.799918
11500	1975	4.697396	1.967196
11500	1976	4.700184	1.992179
11500	1977	4.705586	2.051652
11500	1978	4.710363	2.043601
11500	1979	4.684747	2.040884
11500	1980	4.60517	2.025513
11500	1981	4.527549	2.001441
11500	1982	4.496612	1.99901
11500	1983	4.490556	2.031944
11500	1984	4.485002	2.102026
11500	1985	4.478864	2.131756
11500	1986	4.494764	2.153306
11500	1987	4.501486	2.154407
11500	1988	4.508452	2.178193
11500	1989	4.501814	2.197702
11500	1990	4.488941	2.188796
11500	1991	4.482996	2.21894
11500	1992	4.49095	2.243731
11500	1993	4.479118	2.229836
11500	1994	4.485295	2.24409
11500	1995	4.486242	2.261578
11500	1996	4.482942	2.259398
11500	1997	4.527112	2.276667
11500	1998	4.563116	2.312167
