"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Chris McCullough",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-25_POR_at_WAS","WAS"
"Mike Scott",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-25_POR_at_WAS","WAS"
"Bradley Beal",TRUE,"34:21",2,11,0.182,0,1,0,4,6,0.667,0,2,2,6,0,1,1,1,8,-6,"2017-11-28_WAS_at_MIN","WAS"
"Otto Porter",TRUE,"32:05",8,18,0.444,4,8,0.5,2,2,1,0,8,8,0,0,0,1,1,22,-8,"2017-11-28_WAS_at_MIN","WAS"
"Markieff Morris",TRUE,"20:39",1,6,0.167,0,3,0,0,0,NA,1,3,4,1,0,0,3,3,2,-19,"2017-11-28_WAS_at_MIN","WAS"
"Marcin Gortat",TRUE,"20:04",4,8,0.5,0,0,NA,1,2,0.5,2,5,7,1,0,0,0,1,9,-14,"2017-11-28_WAS_at_MIN","WAS"
"Tim Frazier",TRUE,"15:34",1,2,0.5,0,0,NA,0,1,0,0,1,1,4,0,0,0,1,2,-11,"2017-11-28_WAS_at_MIN","WAS"
"Kelly Oubre",FALSE,"31:27",7,14,0.5,0,4,0,2,4,0.5,0,4,4,2,2,1,1,3,16,16,"2017-11-28_WAS_at_MIN","WAS"
"Ian Mahinmi",FALSE,"26:30",1,4,0.25,0,0,NA,0,0,NA,5,3,8,1,0,2,0,4,2,18,"2017-11-28_WAS_at_MIN","WAS"
"Tomas Satoransky",FALSE,"21:35",3,6,0.5,1,2,0.5,0,0,NA,1,4,5,6,1,0,0,0,7,12,"2017-11-28_WAS_at_MIN","WAS"
"Mike Scott",FALSE,"20:27",5,8,0.625,1,4,0.25,1,2,0.5,0,5,5,2,2,0,1,0,12,15,"2017-11-28_WAS_at_MIN","WAS"
"Jodie Meeks",FALSE,"17:18",4,6,0.667,4,6,0.667,0,0,NA,0,0,0,0,0,0,0,2,12,12,"2017-11-28_WAS_at_MIN","WAS"
"Chris McCullough",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28_WAS_at_MIN","WAS"
"Jason Smith",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28_WAS_at_MIN","WAS"
"Otto Porter",TRUE,"25:14",3,14,0.214,0,2,0,2,2,1,1,3,4,2,3,0,2,2,8,-22,"2017-11-29_WAS_at_PHI","WAS"
"Bradley Beal",TRUE,"22:57",6,12,0.5,4,5,0.8,5,5,1,0,4,4,1,1,0,0,6,21,-9,"2017-11-29_WAS_at_PHI","WAS"
"Marcin Gortat",TRUE,"20:30",3,7,0.429,0,0,NA,0,2,0,0,2,2,1,0,1,0,2,6,-20,"2017-11-29_WAS_at_PHI","WAS"
"Tim Frazier",TRUE,"19:09",2,4,0.5,0,1,0,0,0,NA,1,2,3,3,0,0,3,2,4,-15,"2017-11-29_WAS_at_PHI","WAS"
"Markieff Morris",TRUE,"16:59",3,9,0.333,1,3,0.333,0,0,NA,0,2,2,0,0,0,1,3,7,-15,"2017-11-29_WAS_at_PHI","WAS"
"Tomas Satoransky",FALSE,"28:51",4,7,0.571,0,0,NA,4,4,1,0,2,2,8,0,0,0,5,12,10,"2017-11-29_WAS_at_PHI","WAS"
"Kelly Oubre",FALSE,"28:39",7,15,0.467,1,3,0.333,7,7,1,2,5,7,4,1,1,3,6,22,5,"2017-11-29_WAS_at_PHI","WAS"
"Jodie Meeks",FALSE,"26:27",5,11,0.455,3,6,0.5,8,9,0.889,1,3,4,1,1,0,0,5,21,11,"2017-11-29_WAS_at_PHI","WAS"
"Ian Mahinmi",FALSE,"25:26",2,3,0.667,0,0,NA,4,6,0.667,0,2,2,1,2,0,1,4,8,17,"2017-11-29_WAS_at_PHI","WAS"
"Chris McCullough",FALSE,"17:21",1,6,0.167,0,2,0,2,2,1,1,3,4,1,0,1,0,5,4,19,"2017-11-29_WAS_at_PHI","WAS"
"Mike Scott",FALSE,"8:27",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,1,1,2,0,-6,"2017-11-29_WAS_at_PHI","WAS"
"Jason Smith",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-29_WAS_at_PHI","WAS"
"Bradley Beal",TRUE,"32:45",4,11,0.364,0,3,0,2,3,0.667,1,1,2,2,2,1,7,3,10,9,"2017-12-01_DET_at_WAS","WAS"
"Otto Porter",TRUE,"32:41",8,15,0.533,1,5,0.2,0,0,NA,0,3,3,6,2,2,0,1,17,16,"2017-12-01_DET_at_WAS","WAS"
"Marcin Gortat",TRUE,"31:35",5,10,0.5,0,0,NA,2,4,0.5,5,7,12,3,4,0,1,2,12,22,"2017-12-01_DET_at_WAS","WAS"
