"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Kyrie Irving",TRUE,"33:24",11,22,0.5,0,3,0,1,4,0.25,1,0,1,3,3,0,1,2,23,-4,"2017-11-22_BOS_at_MIA","BOS"
"Jaylen Brown",TRUE,"30:58",6,10,0.6,2,3,0.667,0,0,NA,0,3,3,1,1,0,3,6,14,2,"2017-11-22_BOS_at_MIA","BOS"
"Aron Baynes",TRUE,"12:11",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,1,0,1,2,2,-3,"2017-11-22_BOS_at_MIA","BOS"
"Marcus Smart",FALSE,"34:22",3,9,0.333,0,2,0,1,2,0.5,0,3,3,4,0,1,0,3,7,-4,"2017-11-22_BOS_at_MIA","BOS"
"Marcus Morris",FALSE,"21:07",3,9,0.333,1,3,0.333,7,8,0.875,1,3,4,1,1,0,0,0,14,-12,"2017-11-22_BOS_at_MIA","BOS"
"Terry Rozier",FALSE,"18:15",2,8,0.25,2,6,0.333,2,2,1,2,4,6,1,3,0,2,2,8,1,"2017-11-22_BOS_at_MIA","BOS"
"Daniel Theis",FALSE,"9:45",1,1,1,0,0,NA,1,2,0.5,0,1,1,0,0,0,2,1,3,-14,"2017-11-22_BOS_at_MIA","BOS"
"Shane Larkin",FALSE,"6:01",0,0,NA,0,0,NA,2,2,1,0,1,1,0,0,0,0,2,2,-6,"2017-11-22_BOS_at_MIA","BOS"
"Semi Ojeleye",FALSE,"4:56",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,-2,"2017-11-22_BOS_at_MIA","BOS"
"Abdel Nader",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-22_BOS_at_MIA","BOS"
"Guerschon Yabusele",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-22_BOS_at_MIA","BOS"
"Jaylen Brown",TRUE,"27:34",5,14,0.357,2,4,0.5,1,2,0.5,0,2,2,4,2,1,0,2,13,20,"2017-11-24_ORL_at_BOS","BOS"
"Al Horford",TRUE,"26:02",2,5,0.4,1,3,0.333,0,0,NA,0,4,4,10,0,2,2,1,5,19,"2017-11-24_ORL_at_BOS","BOS"
"Marcus Morris",TRUE,"25:58",4,13,0.308,1,4,0.25,0,0,NA,0,6,6,3,0,0,1,2,9,11,"2017-11-24_ORL_at_BOS","BOS"
"Kyrie Irving",TRUE,"24:52",9,15,0.6,2,4,0.5,10,10,1,0,4,4,3,1,0,1,2,30,18,"2017-11-24_ORL_at_BOS","BOS"
"Jayson Tatum",TRUE,"21:54",4,7,0.571,3,4,0.75,0,0,NA,1,1,2,0,1,2,0,1,11,13,"2017-11-24_ORL_at_BOS","BOS"
"Terry Rozier",FALSE,"30:03",8,11,0.727,5,7,0.714,2,3,0.667,2,4,6,2,1,0,0,4,23,5,"2017-11-24_ORL_at_BOS","BOS"
"Semi Ojeleye",FALSE,"26:53",2,8,0.25,1,7,0.143,2,6,0.333,2,3,5,0,1,0,1,3,7,3,"2017-11-24_ORL_at_BOS","BOS"
"Marcus Smart",FALSE,"24:28",1,7,0.143,1,7,0.143,1,2,0.5,0,4,4,3,0,3,1,4,4,5,"2017-11-24_ORL_at_BOS","BOS"
"Aron Baynes",FALSE,"21:58",6,9,0.667,0,0,NA,1,2,0.5,7,4,11,2,0,0,1,1,13,-4,"2017-11-24_ORL_at_BOS","BOS"
"Guerschon Yabusele",FALSE,"7:09",0,1,0,0,1,0,0,0,NA,1,1,2,0,0,1,1,0,0,-14,"2017-11-24_ORL_at_BOS","BOS"
"Abdel Nader",FALSE,"3:09",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,1,0,0,3,-1,"2017-11-24_ORL_at_BOS","BOS"
"Shane Larkin",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-24_ORL_at_BOS","BOS"
"Daniel Theis",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-24_ORL_at_BOS","BOS"
"Jayson Tatum",TRUE,"37:38",4,10,0.4,1,5,0.2,2,3,0.667,0,2,2,0,0,0,1,3,11,12,"2017-11-25_BOS_at_IND","BOS"
"Marcus Smart",TRUE,"34:34",7,8,0.875,1,2,0.5,0,0,NA,0,6,6,5,2,0,3,1,15,12,"2017-11-25_BOS_at_IND","BOS"
"Kyrie Irving",TRUE,"34:08",11,20,0.55,1,4,0.25,2,2,1,1,3,4,6,1,0,3,1,25,9,"2017-11-25_BOS_at_IND","BOS"
"Al Horford",TRUE,"31:44",8,15,0.533,3,4,0.75,2,2,1,1,4,5,6,0,3,1,1,21,12,"2017-11-25_BOS_at_IND","BOS"
"Daniel Theis",TRUE,"21:08",2,6,0.333,0,1,0,1,1,1,2,3,5,2,2,1,2,5,5,8,"2017-11-25_BOS_at_IND","BOS"
"Aron Baynes",FALSE,"23:57",4,5,0.8,0,1,0,0,0,NA,0,4,4,0,1,0,2,2,8,4,"2017-11-25_BOS_at_IND","BOS"
"Terry Rozier",FALSE,"20:21",7,9,0.778,2,3,0.667,1,1,1,0,1,1,2,1,0,0,0,17,6,"2017-11-25_BOS_at_IND","BOS"
"Semi Ojeleye",FALSE,"19:11",2,6,0.333,2,5,0.4,0,0,NA,0,3,3,1,1,0,1,0,6,-4,"2017-11-25_BOS_at_IND","BOS"
"Abdel Nader",FALSE,"13:16",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-10,"2017-11-25_BOS_at_IND","BOS"
"Shane Larkin",FALSE,"4:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,"2017-11-25_BOS_at_IND","BOS"
"Guerschon Yabusele",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-25_BOS_at_IND","BOS"
"Jabari Bird",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-25_BOS_at_IND","BOS"
"Kyrie Irving",TRUE,"35:56",6,16,0.375,1,6,0.167,5,7,0.714,0,4,4,9,0,0,6,5,18,-21,"2017-11-27_DET_at_BOS","BOS"
"Jayson Tatum",TRUE,"34:44",3,7,0.429,2,4,0.5,2,2,1,1,2,3,4,0,1,1,5,10,-13,"2017-11-27_DET_at_BOS","BOS"
"Al Horford",TRUE,"33:42",5,8,0.625,1,3,0.333,0,0,NA,0,5,5,3,1,2,1,3,11,-13,"2017-11-27_DET_at_BOS","BOS"
"Jaylen Brown",TRUE,"32:34",4,10,0.4,1,3,0.333,0,2,0,0,6,6,1,0,0,0,2,9,-14,"2017-11-27_DET_at_BOS","BOS"
"Marcus Morris",TRUE,"22:32",5,11,0.455,3,5,0.6,0,1,0,0,4,4,2,0,1,2,4,13,-15,"2017-11-27_DET_at_BOS","BOS"
"Marcus Smart",FALSE,"31:32",8,13,0.615,6,9,0.667,1,4,0.25,0,3,3,6,0,0,3,2,23,9,"2017-11-27_DET_at_BOS","BOS"
"Terry Rozier",FALSE,"19:20",1,3,0.333,1,2,0.5,0,0,NA,0,0,0,1,0,0,0,0,3,5,"2017-11-27_DET_at_BOS","BOS"
"Aron Baynes",FALSE,"12:41",3,3,1,0,0,NA,0,0,NA,2,4,6,1,0,0,2,0,6,5,"2017-11-27_DET_at_BOS","BOS"
"Daniel Theis",FALSE,"10:25",4,4,1,0,0,NA,4,5,0.8,1,1,2,0,0,0,1,2,12,2,"2017-11-27_DET_at_BOS","BOS"
"Semi Ojeleye",FALSE,"6:34",1,2,0.5,1,1,1,0,0,NA,1,2,3,0,1,0,1,0,3,5,"2017-11-27_DET_at_BOS","BOS"
"Abdel Nader",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-27_DET_at_BOS","BOS"
"Guerschon Yabusele",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-27_DET_at_BOS","BOS"
"Shane Larkin",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-27_DET_at_BOS","BOS"
"Al Horford",TRUE,"34:00",9,12,0.75,2,3,0.667,1,2,0.5,0,8,8,5,0,2,2,2,21,10,"2017-11-30_PHI_at_BOS","BOS"
"Kyrie Irving",TRUE,"32:31",12,21,0.571,5,8,0.625,7,8,0.875,1,3,4,3,0,0,2,1,36,2,"2017-11-30_PHI_at_BOS","BOS"
"Jayson Tatum",TRUE,"27:52",6,11,0.545,2,3,0.667,1,3,0.333,0,2,2,2,2,0,0,1,15,7,"2017-11-30_PHI_at_BOS","BOS"
