"season.num","season","team","wins","win.pct","season.rank","year","diff.wins.prev","diff.pct.prev"
20,"1995-96","CLE",47,0.573170731707317,9,1996,4,0.0930232558139534
21,"1996-97","CLE",42,0.51219512195122,14,1997,-5,-0.106382978723404
22,"1997-98","CLE",47,0.573170731707317,11,1998,5,0.119047619047619
23,"1998-99","CLE",22,0.44,20,1999,-25,-0.232340425531915
24,"1999-00","CLE",32,0.390243902439024,22,2000,10,-0.113082039911308
25,"2000-01","CLE",30,0.365853658536585,23,2001,-2,-0.0625000000000001
26,"2001-02","CLE",29,0.353658536585366,24,2002,-1,-0.0333333333333334
27,"2002-03","CLE",17,0.207317073170732,28,2003,-12,-0.413793103448276
28,"2003-04","CLE",35,0.426829268292683,21,2004,18,1.05882352941176
29,"2004-05","CLE",42,0.51219512195122,17,2005,7,0.2
30,"2005-06","CLE",50,0.609756097560976,6,2006,8,0.19047619047619
31,"2006-07","CLE",50,0.609756097560976,7,2007,0,0
32,"2007-08","CLE",45,0.548780487804878,13,2008,-5,-0.0999999999999999
33,"2008-09","CLE",66,0.804878048780488,1,2009,21,0.466666666666667
34,"2009-10","CLE",61,0.74390243902439,1,2010,-5,-0.0757575757575758
35,"2010-11","CLE",19,0.231707317073171,29,2011,-42,-0.688524590163934
36,"2011-12","CLE",21,0.318181818181818,27,2012,2,0.373205741626794
37,"2012-13","CLE",24,0.292682926829268,28,2013,3,-0.0801393728222997
38,"2013-14","CLE",33,0.402439024390244,22,2014,9,0.375
39,"2014-15","CLE",53,0.646341463414634,7,2015,20,0.606060606060606
40,"2015-16","CLE",57,0.695121951219512,3,2016,4,0.0754716981132074
1,"1976-77","DAL",NA,NA,NA,1977,NA,NA
2,"1977-78","DAL",NA,NA,NA,1978,NA,NA
3,"1978-79","DAL",NA,NA,NA,1979,NA,NA
4,"1979-80","DAL",NA,NA,NA,1980,NA,NA
5,"1980-81","DAL",15,0.182926829268293,23,1981,NA,NA
6,"1981-82","DAL",28,0.341463414634146,20,1982,13,0.866666666666667
7,"1982-83","DAL",38,0.463414634146341,15,1983,10,0.357142857142857
8,"1983-84","DAL",43,0.524390243902439,10,1984,5,0.131578947368421
9,"1984-85","DAL",44,0.536585365853659,8,1985,1,0.0232558139534884
10,"1985-86","DAL",44,0.536585365853659,9,1986,0,0
11,"1986-87","DAL",55,0.670731707317073,4,1987,11,0.25
12,"1987-88","DAL",53,0.646341463414634,5,1988,-2,-0.0363636363636364
13,"1988-89","DAL",38,0.463414634146341,18,1989,-15,-0.283018867924528
14,"1989-90","DAL",47,0.573170731707317,10,1990,9,0.236842105263158
15,"1990-91","DAL",28,0.341463414634146,22,1991,-19,-0.404255319148936
16,"1991-92","DAL",22,0.268292682926829,25,1992,-6,-0.214285714285714
17,"1992-93","DAL",11,0.134146341463415,27,1993,-11,-0.5
18,"1993-94","DAL",13,0.158536585365854,27,1994,2,0.181818181818182
19,"1994-95","DAL",36,0.439024390243902,17,1995,23,1.76923076923077
20,"1995-96","DAL",26,0.317073170731707,24,1996,-10,-0.277777777777778
21,"1996-97","DAL",24,0.292682926829268,24,1997,-2,-0.076923076923077
22,"1997-98","DAL",20,0.24390243902439,24,1998,-4,-0.166666666666667
23,"1998-99","DAL",19,0.38,22,1999,-1,0.558
24,"1999-00","DAL",40,0.48780487804878,18,2000,21,0.283697047496791
25,"2000-01","DAL",53,0.646341463414634,5,2001,13,0.325
26,"2001-02","DAL",57,0.695121951219512,4,2002,4,0.0754716981132074
27,"2002-03","DAL",60,0.731707317073171,1,2003,3,0.0526315789473685
28,"2003-04","DAL",52,0.634146341463415,7,2004,-8,-0.133333333333333
29,"2004-05","DAL",58,0.707317073170732,4,2005,6,0.115384615384615
30,"2005-06","DAL",60,0.731707317073171,3,2006,2,0.0344827586206897
31,"2006-07","DAL",67,0.817073170731707,1,2007,7,0.116666666666667
32,"2007-08","DAL",51,0.621951219512195,10,2008,-16,-0.238805970149254
33,"2008-09","DAL",50,0.609756097560976,9,2009,-1,-0.0196078431372549
34,"2009-10","DAL",55,0.670731707317073,4,2010,5,0.1
35,"2010-11","DAL",57,0.695121951219512,4,2011,2,0.0363636363636362
36,"2011-12","DAL",36,0.545454545454545,13,2012,-21,-0.215311004784689
37,"2012-13","DAL",41,0.5,16,2013,5,-0.0833333333333333
38,"2013-14","DAL",49,0.597560975609756,10,2014,8,0.195121951219512
39,"2014-15","DAL",50,0.609756097560976,9,2015,1,0.0204081632653061
40,"2015-16","DAL",42,0.51219512195122,14,2016,-8,-0.16
1,"1976-77","DEN",50,0.609756097560976,2,1977,NA,NA
2,"1977-78","DEN",48,0.585365853658537,5,1978,-2,-0.04
3,"1978-79","DEN",47,0.573170731707317,6,1979,-1,-0.0208333333333334
4,"1979-80","DEN",30,0.365853658536585,18,1980,-17,-0.361702127659574
5,"1980-81","DEN",37,0.451219512195122,15,1981,7,0.233333333333333
6,"1981-82","DEN",46,0.560975609756098,7,1982,9,0.243243243243243
7,"1982-83","DEN",45,0.548780487804878,10,1983,-1,-0.0217391304347826
8,"1983-84","DEN",38,0.463414634146341,14,1984,-7,-0.155555555555556
9,"1984-85","DEN",52,0.634146341463415,5,1985,14,0.368421052631579
10,"1985-86","DEN",47,0.573170731707317,7,1986,-5,-0.0961538461538462
11,"1986-87","DEN",37,0.451219512195122,16,1987,-10,-0.212765957446808
12,"1987-88","DEN",54,0.658536585365854,3,1988,17,0.459459459459459
13,"1988-89","DEN",44,0.536585365853659,13,1989,-10,-0.185185185185185
14,"1989-90","DEN",43,0.524390243902439,13,1990,-1,-0.0227272727272727
15,"1990-91","DEN",20,0.24390243902439,27,1991,-23,-0.534883720930233
16,"1991-92","DEN",24,0.292682926829268,24,1992,4,0.2
17,"1992-93","DEN",36,0.439024390243902,19,1993,12,0.5
18,"1993-94","DEN",42,0.51219512195122,15,1994,6,0.166666666666667
19,"1994-95","DEN",41,0.5,15,1995,-1,-0.0238095238095238
20,"1995-96","DEN",35,0.426829268292683,20,1996,-6,-0.146341463414634
21,"1996-97","DEN",21,0.25609756097561,26,1997,-14,-0.4
22,"1997-98","DEN",11,0.134146341463415,29,1998,-10,-0.476190476190476
23,"1998-99","DEN",14,0.28,26,1999,3,1.08727272727273
24,"1999-00","DEN",35,0.426829268292683,19,2000,21,0.524390243902439
25,"2000-01","DEN",40,0.48780487804878,19,2001,5,0.142857142857143
26,"2001-02","DEN",27,0.329268292682927,26,2002,-13,-0.325
27,"2002-03","DEN",17,0.207317073170732,28,2003,-10,-0.37037037037037
28,"2003-04","DEN",43,0.524390243902439,11,2004,26,1.52941176470588
29,"2004-05","DEN",49,0.597560975609756,9,2005,6,0.13953488372093
30,"2005-06","DEN",44,0.536585365853659,11,2006,-5,-0.102040816326531
31,"2006-07","DEN",45,0.548780487804878,10,2007,1,0.0227272727272727
32,"2007-08","DEN",50,0.609756097560976,11,2008,5,0.111111111111111
33,"2008-09","DEN",54,0.658536585365854,5,2009,4,0.0800000000000001
34,"2009-10","DEN",53,0.646341463414634,6,2010,-1,-0.0185185185185185
35,"2010-11","DEN",50,0.609756097560976,9,2011,-3,-0.0566037735849057
36,"2011-12","DEN",38,0.575757575757576,11,2012,-12,-0.0557575757575757
